,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,16,0.2385550022125244,0.011276188426494693,0.0152191162109375,0.0023172593035306888,15,0.0025,1,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-3.4619046840612823e-06,-4.028544370410204e-06,-3.4562762819396565e-06,-3.2518286772123568e-06,-3.368255490128064e-06,-3.5133619007503123e-06,2.6861686003937626e-07,39
Output_0,17,0.19874887466430663,0.018353007726971134,0.006582212448120117,0.0004892591234360791,15,0.0025,2,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.3737394145700136e-06,-2.803082670169669e-06,-2.067007187147455e-06,-2.2250616751088006e-06,-2.3732198764510485e-06,-2.3684221646893976e-06,2.4510579955121586e-07,33
Output_0,18,0.23695836067199708,0.022118957561380173,0.006697893142700195,0.00076207468077593,15,0.0025,4,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.3815435704361155e-06,-2.2678635043964013e-06,-2.1315041814766624e-06,-2.286403278159476e-06,-2.2812216460361728e-06,-2.2697072361009655e-06,8.002773117886767e-08,30
Output_0,19,0.26807246208190916,0.005875207077654517,0.006912422180175781,0.0021837221159036724,15,0.0025,5,rbf,"{'C': 15, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.3652090523508856e-06,-2.120936644569718e-06,-2.3102638246139818e-06,-2.4610011094292e-06,-2.255274705803521e-06,-2.302537067353461e-06,1.1341144341447509e-07,31
Output_0,20,0.13645005226135254,0.0109987159247863,0.010123825073242188,0.002671918748333246,15,0.005,1,rbf,"{'C': 15, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-1.0835712176842237e-05,-1.238815311568732e-05,-1.116166181441983e-05,-1.081773809631777e-05,-1.1218279916124906e-05,-1.1284309023878412e-05,5.756390399713574e-07,59
Output_0,21,0.1131582260131836,0.01059284973666281,0.004437494277954102,0.00046795398880907207,15,0.005,2,rbf,"{'C': 15, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-8.506160952186217e-06,-9.195763014829583e-06,-8.277746870957846e-06,-9.148463971827895e-06,-8.642997624514431e-06,-8.754226486863194e-06,3.609207374943116e-07,54
Output_0,22,0.10395941734313965,0.007055025481785566,0.0030119895935058595,0.0006287139140931792,15,0.005,4,rbf,"{'C': 15, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-7.569595305706837e-06,-7.341353771253428e-06,-6.352009657047213e-06,-7.893963412416569e-06,-7.081483864181982e-06,-7.247681202121206e-06,5.215233470196228e-07,44
Output_0,23,0.105598783493042,0.01939907914723004,0.0035961151123046877,0.0004800118478795426,15,0.005,5,rbf,"{'C': 15, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-8.142819172403055e-06,-7.815105304459184e-06,-6.7257185373816955e-06,-7.839918165136129e-06,-7.4703288374926485e-06,-7.598778003374543e-06,4.857280909690829e-07,49
Output_0,24,0.39106459617614747,0.01653887486772863,0.017166614532470703,0.0017404396565893381,20,0.001,1,rbf,"{'C': 20, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-6.135683577207794e-07,-7.223087583792934e-07,-6.489063225777804e-07,-6.523072086817895e-07,-6.168269569959113e-07,-6.507835208711108e-07,3.914006054439647e-08,13
Output_0,25,0.460754919052124,0.026535885918362336,0.011974954605102539,0.0014171589158902176,20,0.001,2,rbf,"{'C': 20, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-6.07476181639034e-07,-6.423398785200828e-07,-5.828926919788841e-07,-5.596892989107905e-07,-4.733533373030854e-07,-5.731502776703754e-07,5.6922773019951275e-08,4
Output_0,26,0.7841957569122314,0.08529679239482013,0.01759047508239746,0.0038426765167680504,20,0.001,4,rbf,"{'C': 20, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-6.922534927107861e-07,-5.886459385353811e-07,-6.382069259003993e-07,-6.077737440383272e-07,-6.064956165546166e-07,-6.266751435479021e-07,3.645325370973664e-08,11
Output_0,27,0.8486002445220947,0.07993023026848349,0.01899547576904297,0.005193880225844386,20,0.001,5,rbf,"{'C': 20, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-6.725081785705289e-07,-6.09486879410347e-07,-6.874134275066247e-07,-7.039906146138927e-07,-5.714087652836408e-07,-6.489615730770068e-07,5.0267032115540316e-08,12
Output_0,28,0.24937958717346193,0.03037563699912784,0.011803722381591797,0.002984971419548166,20,0.0025,1,rbf,"{'C': 20, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-3.0332235505164264e-06,-3.3746931488939566e-06,-2.9875184211665e-06,-2.7926517534929153e-06,-2.9014971853012904e-06,-3.0179168118742177e-06,1.963392925736536e-07,38
Output_0,29,0.19392919540405273,0.011819783372862831,0.006191158294677734,0.0014655735590112721,20,0.0025,2,rbf,"{'C': 20, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.4358342506598704e-06,-2.6020132849943414e-06,-1.91583861828989e-06,-2.1460761463169523e-06,-2.0331979339899773e-06,-2.226592046850206e-06,2.550196825323363e-07,29
Output_0,30,0.24522638320922852,0.03161719637181891,0.006576967239379883,0.0004833923468001373,20,0.0025,4,rbf,"{'C': 20, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.254996772883943e-06,-2.1767970294453e-06,-2.005301751001795e-06,-2.1014568622808534e-06,-2.3011232427930127e-06,-2.1679351316809807e-06,1.0608139549997104e-07,27
Output_0,31,0.27085366249084475,0.020642017648224757,0.0068549633026123045,0.0013060585727382454,20,0.0025,5,rbf,"{'C': 20, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.239798011008927e-06,-2.052651427833764e-06,-2.1695512447971327e-06,-2.4028627096931093e-06,-2.192877580737117e-06,-2.21154819481401e-06,1.1380669041490896e-07,28
Output_0,32,0.12574248313903807,0.0067531515708453525,0.007779884338378906,0.0013230124933137901,20,0.005,1,rbf,"{'C': 20, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-1.0455007727787769e-05,-1.1397556123814936e-05,-1.0232274201809983e-05,-9.545240918041556e-06,-1.0376660240986695e-05,-1.0401347842488189e-05,5.928616639317993e-07,58
Output_0,33,0.10353622436523438,0.010380084050693685,0.00397334098815918,1.5790871252453896e-05,20,0.005,2,rbf,"{'C': 20, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-8.431362319132771e-06,-9.03335479540409e-06,-8.104220611800511e-06,-8.765980426675241e-06,-8.29031175322777e-06,-8.525045981248078e-06,3.338856197754831e-07,53
Output_0,34,0.1031259536743164,0.02372581983705523,0.00260009765625,0.0004948086507170672,20,0.005,4,rbf,"{'C': 20, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-7.489056213991747e-06,-7.3621257948549844e-06,-6.442217822937852e-06,-7.666861408737488e-06,-7.1750667165000096e-06,-7.227065591404418e-06,4.2402608610361226e-07,43
Output_0,35,0.0929412841796875,0.004663137783110585,0.0038329124450683593,0.0012034229452750605,20,0.005,5,rbf,"{'C': 20, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-7.985821482648721e-06,-7.81044740336523e-06,-6.505662867824607e-06,-6.984559543290372e-06,-7.646863709765185e-06,-7.386671001378823e-06,5.557224018696078e-07,47
Output_0,36,0.39527482986450196,0.015782030744807152,0.014783191680908202,0.001254494225720143,25,0.001,1,rbf,"{'C': 25, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-5.639282017389346e-07,-6.954396891883849e-07,-5.76413661197221e-07,-5.350863651154117e-07,-5.435489538758244e-07,-5.828833742231553e-07,5.8140915873079806e-08,5
Output_0,37,0.49483184814453124,0.022106228135625017,0.01137371063232422,0.0014808591510744637,25,0.001,2,rbf,"{'C': 25, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-6.082965887248253e-07,-5.329563345550053e-07,-5.566419499741479e-07,-5.277259091037547e-07,-5.23029640732922e-07,-5.497300846181311e-07,3.148417196273084e-08,3
Output_0,38,0.861782169342041,0.09235483837899022,0.01668376922607422,0.0019869241049653642,25,0.001,4,rbf,"{'C': 25, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-6.363388955126886e-07,-5.68378134333248e-07,-6.046655750100686e-07,-6.146761360891806e-07,-5.537375834561002e-07,-5.955592648802571e-07,3.032894597071796e-08,7
Output_0,39,0.9520053863525391,0.12386718092027411,0.022534751892089845,0.0038420333761820837,25,0.001,5,rbf,"{'C': 25, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-6.099669139996765e-07,-5.734091065821143e-07,-6.681927665549956e-07,-6.472503638698247e-07,-5.311371046452382e-07,-6.059912511303698e-07,4.9501289255530217e-08,9
Output_0,40,0.22376413345336915,0.006109877131069332,0.01206207275390625,0.002408953653880408,25,0.0025,1,rbf,"{'C': 25, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-2.652908825785144e-06,-3.2409257410172408e-06,-2.579723085442732e-06,-2.582335590593335e-06,-2.6902309687155973e-06,-2.74922484231081e-06,2.4944325762386756e-07,37
Output_0,41,0.21603679656982422,0.039322926503226885,0.005839157104492188,0.0014749549561461923,25,0.0025,2,rbf,"{'C': 25, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-2.0885163426623465e-06,-2.52536782090912e-06,-1.924140259184958e-06,-1.949300567493397e-06,-1.9264560884877894e-06,-2.082756215747522e-06,2.294939535562521e-07,22
Output_0,42,0.23383016586303712,0.02625982572502991,0.0056231021881103516,0.0016907809127086608,25,0.0025,4,rbf,"{'C': 25, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.256305157852626e-06,-2.2613500233725392e-06,-1.96090963563728e-06,-2.0791059485623296e-06,-2.1790306675281714e-06,-2.147340286590589e-06,1.1426999255731162e-07,26
Output_0,43,0.3163119316101074,0.055125757841595666,0.007127523422241211,0.0021191798675656783,25,0.0025,5,rbf,"{'C': 25, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.1888407939709117e-06,-1.9621776088320164e-06,-2.075805454912929e-06,-2.176832602968699e-06,-2.105771826959359e-06,-2.101885657528783e-06,8.172130510023468e-08,24
Output_0,44,0.12927598953247071,0.011634261229330317,0.006482887268066406,0.0013249511552824594,25,0.005,1,rbf,"{'C': 25, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-9.833790098540494e-06,-1.0565790844242039e-05,-9.51085651977688e-06,-9.143767438828785e-06,-9.571796661828414e-06,-9.725200312643321e-06,4.745364710516049e-07,57
Output_0,45,0.12269301414489746,0.004696776475246452,0.0038930892944335936,0.001109681675626656,25,0.005,2,rbf,"{'C': 25, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-8.507141588271174e-06,-8.544724066649877e-06,-7.87425293899512e-06,-8.100517997603441e-06,-7.397296807598666e-06,-8.084786679823655e-06,4.2594373414537347e-07,52
Output_0,46,0.09590654373168946,0.005769843331705952,0.003225851058959961,0.0014623716910685048,25,0.005,4,rbf,"{'C': 25, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-7.757408559033802e-06,-7.233903856025548e-06,-6.249247794095753e-06,-7.81951220484101e-06,-6.960057096379009e-06,-7.204025902075025e-06,5.756857579750928e-07,42
Output_0,47,0.09853296279907227,0.015978745101634596,0.00360565185546875,0.0011902889755436954,25,0.005,5,rbf,"{'C': 25, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-8.201028796759516e-06,-7.81044740336523e-06,-6.21480674825846e-06,-7.0426795178376415e-06,-7.438682935978281e-06,-7.3415290804398265e-06,6.821843302918238e-07,46
Output_0,48,0.4310916900634766,0.011723125780783123,0.015143299102783203,0.002666044936698811,30,0.001,1,rbf,"{'C': 30, 'epsilon': 0.001, 'gamma': 1, 'kernel': 'rbf'}",-5.222935237435966e-07,-5.869982684327666e-07,-4.893996344131277e-07,-4.426115114182131e-07,-4.867730410568312e-07,-5.056151958129071e-07,4.793496971164389e-08,1
Output_0,49,0.4982896327972412,0.031131018703597982,0.01108083724975586,0.0009844602244002657,30,0.001,2,rbf,"{'C': 30, 'epsilon': 0.001, 'gamma': 2, 'kernel': 'rbf'}",-5.716829242901967e-07,-5.776807130223993e-07,-5.127288404030554e-07,-5.494415503727678e-07,-5.001507589648413e-07,-5.42336957410652e-07,3.1039194596640055e-08,2
Output_0,50,0.8595106124877929,0.04358839379328286,0.016382694244384766,0.0014349605436420954,30,0.001,4,rbf,"{'C': 30, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-6.172794120509803e-07,-5.851482944379866e-07,-5.948370793426063e-07,-6.46196399621064e-07,-5.194787418175403e-07,-5.925879854540355e-07,4.216372267181887e-08,6
Output_0,51,1.2892842769622803,0.1500132388899012,0.02713909149169922,0.002423620724505836,30,0.001,5,rbf,"{'C': 30, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-6.348106489574861e-07,-5.877016805786739e-07,-5.735190633069623e-07,-6.069947925026064e-07,-6.06708523230366e-07,-6.019469417152189e-07,2.068452777051264e-08,8
