,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,18,0.009879827499389648,0.005861723606175725,0.007445764541625976,0.007023680696742115,1,0.1,0.01,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.003817861611181442,-0.004072851764497129,-0.004217290272438653,-0.003620265595942201,-0.004346746167744071,-0.0040150030823606995,0.00026419784058048264,16
Output_0,19,0.0031178474426269533,0.0062356948852539075,0.0,0.0,1,0.1,0.1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0021208094854315387,-0.002148952887148377,-0.002142150742545628,-0.0020725074123142005,-0.0021832916864395154,-0.002133542442775852,3.653484641264664e-05,11
Output_0,20,0.0031308650970458983,0.006261730194091796,0.0,0.0,1,0.1,1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.002092887416129525,-0.0019420623431107805,-0.0022570494542568857,-0.0018492196477433581,-0.002164521042200864,-0.0020611479806882825,0.00014776046584727442,9
Output_0,21,0.0,0.0,0.0,0.0,1,1,0.01,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,22,0.0031177520751953123,0.006235504150390625,0.0,0.0,1,1,0.1,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,23,0.0,0.0,0.0,0.0,1,1,1,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.04612454783741657,-0.04955894769385513,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.0027247544703748734,19
Output_0,24,0.0,0.0,0.0,0.0,1,10,0.01,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,25,0.0031243324279785155,0.006248664855957031,0.0,0.0,1,10,0.1,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,26,0.0,0.0,0.0,0.0,1,10,1,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 1, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.043980647983943466,-0.05139882418140987,-0.04819504990405542,0.002724754470374874,19
Output_0,27,0.0,0.0,0.0,0.0,1,20,0.01,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 0.01, 'kernel': 'rbf'}",-0.046124547837416555,-0.04955894769385514,-0.049912281823652066,-0.04398064798394346,-0.05139882418140987,-0.04819504990405542,0.002724754470374876,19
