,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,16,6.480125188827515,0.9535772625140531,0.08344430923461914,0.039597816797369546,50,1e-05,4,rbf,"{'C': 50, 'epsilon': 1e-05, 'gamma': 4, 'kernel': 'rbf'}",-8.058123143900727e-08,-4.864149676843056e-08,-4.558958369064276e-08,-5.463553729695285e-08,-3.390115417838882e-08,-5.2669800674684444e-08,1.5501812048821108e-08,23
Output_0,17,6.058425092697144,1.2594282758795527,0.0638650894165039,0.015863110224801212,50,1e-05,6,rbf,"{'C': 50, 'epsilon': 1e-05, 'gamma': 6, 'kernel': 'rbf'}",-6.528268583631909e-08,-4.8755684122243406e-08,-4.7886644462647916e-08,-7.413305821793286e-08,-4.717669148718821e-08,-5.6646952825266294e-08,1.1036672873693378e-08,34
Output_0,18,7.452549886703491,0.9834047217466033,0.08425683975219726,0.03941371077342336,50,1e-05,8,rbf,"{'C': 50, 'epsilon': 1e-05, 'gamma': 8, 'kernel': 'rbf'}",-8.082267560087965e-08,-5.3618060768619795e-08,-5.1670815294363964e-08,-5.087495630314928e-08,-4.914119646287083e-08,-5.722554088597671e-08,1.1885959828668183e-08,35
Output_0,19,8.668180418014526,0.40404903300047046,0.07480883598327637,0.02544368360697581,50,1e-05,10,rbf,"{'C': 50, 'epsilon': 1e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.670121196310147e-08,-3.91887724872819e-08,-4.803470774666731e-08,-4.277518080599974e-08,-4.4007724291919566e-08,-4.8141519458994e-08,9.700630143968602e-09,10
Output_0,20,5.167257022857666,0.9443306761582143,0.06449718475341797,0.012471369455723125,50,3e-05,4,rbf,"{'C': 50, 'epsilon': 3e-05, 'gamma': 4, 'kernel': 'rbf'}",-8.115185184728323e-08,-5.80157242372416e-08,-6.702415151132715e-08,-7.10765390824482e-08,-4.974340211196793e-08,-6.540233375805363e-08,1.079479837181711e-08,51
Output_0,21,5.044332361221313,0.4336569049109468,0.053313827514648436,0.0052512532488346595,50,3e-05,6,rbf,"{'C': 50, 'epsilon': 3e-05, 'gamma': 6, 'kernel': 'rbf'}",-6.464030732070808e-08,-4.286222398112009e-08,-4.3437642153575914e-08,-4.7764421945564977e-08,-4.7431194021174016e-08,-4.922715788442862e-08,7.961923563578324e-09,13
Output_0,22,5.578241777420044,0.40498678355683465,0.05514087677001953,0.005076176413493055,50,3e-05,8,rbf,"{'C': 50, 'epsilon': 3e-05, 'gamma': 8, 'kernel': 'rbf'}",-7.018317483318167e-08,-4.260823998839994e-08,-4.8816075407305056e-08,-5.816022035770558e-08,-4.41200421059283e-08,-5.277755053850411e-08,1.025660280999222e-08,25
Output_0,23,6.025795555114746,0.3413377083855983,0.05202126502990723,0.003139290061993165,50,3e-05,10,rbf,"{'C': 50, 'epsilon': 3e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.38097079608287e-08,-5.153557640467613e-08,-6.684053731670707e-08,-3.7804880657524686e-08,-4.972162321732485e-08,-5.394246511141229e-08,1.0466642246778187e-08,28
Output_0,24,4.011041736602783,0.2182838866077732,0.05191049575805664,0.004715794477743904,50,5e-05,4,rbf,"{'C': 50, 'epsilon': 5e-05, 'gamma': 4, 'kernel': 'rbf'}",-9.506426701631728e-08,-6.715655062435996e-08,-6.767122254411683e-08,-6.43802565198926e-08,-5.242527669719077e-08,-6.933951468037548e-08,1.3999979296566305e-08,56
Output_0,25,4.2727251052856445,0.6247293638645793,0.04904694557189941,0.0031043746621783777,50,5e-05,6,rbf,"{'C': 50, 'epsilon': 5e-05, 'gamma': 6, 'kernel': 'rbf'}",-6.462632692942844e-08,-5.094190257538427e-08,-5.773900321866932e-08,-4.843638780961763e-08,-4.274290197607122e-08,-5.289730450183418e-08,7.5874538371669e-09,26
Output_0,26,9.770810317993163,1.592903809501194,0.1218522071838379,0.039500071703201994,50,5e-05,8,rbf,"{'C': 50, 'epsilon': 5e-05, 'gamma': 8, 'kernel': 'rbf'}",-6.164572190136997e-08,-5.194168289821921e-08,-6.417222875977076e-08,-4.795705217113314e-08,-4.655764273831795e-08,-5.44548656937622e-08,7.169928266053831e-09,29
Output_0,27,9.868756294250488,2.141566726649018,0.08860878944396973,0.02670591495698133,50,5e-05,10,rbf,"{'C': 50, 'epsilon': 5e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.666451968865286e-08,-6.011292715365856e-08,-5.436363115704912e-08,-5.7265068013782634e-08,-6.390483935427297e-08,-6.046219707348323e-08,4.423951212083921e-09,44
Output_0,28,7.3781520366668705,0.8727573466511175,0.082012939453125,0.01038440371484863,50,0.0001,4,rbf,"{'C': 50, 'epsilon': 0.0001, 'gamma': 4, 'kernel': 'rbf'}",-1.0389555670290711e-07,-6.358028256945264e-08,-6.192899001996053e-08,-8.370041781008703e-08,-6.298712241737705e-08,-7.521847390395687e-08,1.6468043532334816e-08,63
Output_0,29,5.784136772155762,1.0192055610491846,0.06854481697082519,0.01187834454136312,50,0.0001,6,rbf,"{'C': 50, 'epsilon': 0.0001, 'gamma': 6, 'kernel': 'rbf'}",-5.7204613357594646e-08,-5.93623668508991e-08,-6.552895769987392e-08,-5.724948292610454e-08,-5.21461034395085e-08,-5.829830485479614e-08,4.325744774741212e-09,36
Output_0,30,6.344739294052124,0.6882898900877081,0.06727252006530762,0.01871651506037556,50,0.0001,8,rbf,"{'C': 50, 'epsilon': 0.0001, 'gamma': 8, 'kernel': 'rbf'}",-8.967543200605672e-08,-5.967240198770436e-08,-7.608382369632595e-08,-7.675910736128348e-08,-5.815776553995677e-08,-7.206970611826544e-08,1.1792374216794307e-08,57
Output_0,31,6.496408128738404,0.8646897637874631,0.0633479118347168,0.008871831186870679,50,0.0001,10,rbf,"{'C': 50, 'epsilon': 0.0001, 'gamma': 10, 'kernel': 'rbf'}",-6.311248459123127e-08,-5.48302053889354e-08,-6.942335887418721e-08,-5.7800726047372734e-08,-6.655463976676197e-08,-6.234428293369772e-08,5.3951056550832774e-09,46
Output_0,32,9.407964277267457,0.9466748405549182,0.1098710536956787,0.012430079282977033,60,1e-05,4,rbf,"{'C': 60, 'epsilon': 1e-05, 'gamma': 4, 'kernel': 'rbf'}",-7.406607392288292e-08,-3.296122706335285e-08,-6.299996352682897e-08,-4.437383230343649e-08,-5.05737961407945e-08,-5.299497859145915e-08,1.4322208419735556e-08,27
Output_0,33,8.950889492034912,0.6523155072631545,0.11732940673828125,0.05268843797090586,60,1e-05,6,rbf,"{'C': 60, 'epsilon': 1e-05, 'gamma': 6, 'kernel': 'rbf'}",-6.39360008058089e-08,-4.133496368651719e-08,-5.280765776573539e-08,-3.699253686640494e-08,-3.150531682647025e-08,-4.531529519018733e-08,1.1650691155366241e-08,6
Output_0,34,12.071840620040893,2.034466469858536,0.1075249195098877,0.029451966944533736,60,1e-05,8,rbf,"{'C': 60, 'epsilon': 1e-05, 'gamma': 8, 'kernel': 'rbf'}",-5.086501000771648e-08,-4.6226820137248186e-08,-5.6155930703907455e-08,-4.926366081325344e-08,-3.9118760697542244e-08,-4.832603647193356e-08,5.618067392088542e-09,11
Output_0,35,11.371416997909545,1.2099840603967777,0.09550995826721191,0.012177724252057138,60,1e-05,10,rbf,"{'C': 60, 'epsilon': 1e-05, 'gamma': 10, 'kernel': 'rbf'}",-6.936126599513764e-08,-4.1792313720311695e-08,-4.8331390572622525e-08,-3.712602815314424e-08,-5.315105666513798e-08,-4.9952411021270815e-08,1.1141507780255351e-08,15
